,Unnamed: 0,Name,Years,Age,Duration,Rating,VoteCount,Summary,Review_Count,Seasons,Star1,Star2,Star3,EpisodeCount,baslangic,isFinal,Sınıf,EpsPerSeason,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Game-Show,History,Music,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,others,HasLove,HasFamily,HasIstanbul,Basrol_Class1,Basrol_Class2,Basrol_Class3,Basrol_Class4
0,0,Kus Uçusu,2022– ,7.0,45.0,6.4,5700.0,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",22.5,2.0,Birce Akalay,Miray Daner,Ibrahim Celikkol,16.0,2022,0,2,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,Sahsiyet,2018– ,7.0,60.0,9.0,46000.0,A man diagnosed with Alzheimer's decides to punish criminals.,22.5,2.0,Haluk Bilginer,Sebnem Bozoklu,Recep Usta,21.0,2018,0,2,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,Yabani,2023– ,7.0,83.0,7.3,513749.99999999977,"The life of a young boy named Yaman growing up on the streets, along with his friends, as they face challenges of survival.",14.0,2.0,Halit Özgür Sari,Simay Barlas,Yurdaer Okur,17.0,2023,0,2,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,3,Aile,2023– ,7.0,83.0,6.6,2200.0,"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense.",15.0,2.0,Kivanç Tatlitug,Serenay Sarikaya,Nur Sürer,27.0,2023,0,2,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4,Gibi,2021– ,7.0,30.0,9.0,20000.0,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,22.5,4.5,Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan,43.0,2021,0,3,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Sen Çal Kapimi,2020–2021,7.0,120.0,7.3,15000.0,"Due to circumstances, Serkan and Eda will have to pretend to be engaged. Comedy begins. And romance?",22.5,2.0,Hande Erçel,Kerem Bürsin,Evrim Dogan,52.0,2020,1,2,26.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,6,Çukur,2016–2021,7.0,120.0,7.6,19000.0,"A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovali. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from.",22.5,4.0,Aras Bulut Iynemli,Erkan Kolçak Köstendil,Riza Kocaoglu,101.0,2016,1,3,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,7,Yali Çapkini,2022– ,7.0,83.0,6.2,4300.0,"Halis Aga, the pillar of one of Gaziantep's well-established families, decides to marry off his unruly grandson Ferit to bring him into line.",22.5,2.0,Afra Saraçoglu,Mert Ramazan Demir,Gülçin Santircioglu,52.0,2022,0,2,26.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8,Kurulus: Osman,2019– ,7.0,120.0,7.6,12000.0,"The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.",22.5,4.5,Mehmet Bozdag,,,101.0,2019,0,3,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,9,Atatürk 1881 - 1919,2023–2024,7.0,83.0,7.2,67000.0,"The life story of Veteran Mustafa Kemal Atatürk, the founding father of the Republic of Turkey and its first President, supreme commander of Turkish War of Independence, and revolutionary statesman.",16.0,2.0,Aras Bulut Iynemli,Lidija Kordic,Alican Barlas,3.0,2023,1,2,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
