Field1_links,Name,Years,Field3_links,Age,Field4_links,Duration,Rating,Field6,Popularity,Summary,Genre,Field9_links,Stars,Rewiev_Count,Seasons,Story_Line,Genre_Long,Location,Production,Sound
https://www.imdb.com/title/tt13323566/?ref_=sr_t_1,Kus Uçusu,2022– ,https://www.imdb.com/title/tt13323566/releaseinfo?ref_=tt_ov_rdat,16+,https://www.imdb.com/title/tt13323566/parentalguide/certificates?ref_=tt_ov_pg,45m,6.4,5.7K,210,"A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.",Drama,"https://www.imdb.com/search/title?genres=drama&explore=title_type,genres&ref_=tt_ov_inf",Birce AkalayMiray DanerIbrahim Celikkol,57,"2
1
See all",,,,,Dolby Digital
https://www.imdb.com/title/tt7920978/?ref_=sr_t_2,Sahsiyet,2018– ,https://www.imdb.com/title/tt7920978/releaseinfo?ref_=tt_ov_rdat,15+,https://www.imdb.com/title/tt7920978/parentalguide/certificates?ref_=tt_ov_pg,1h,9.0,46K,633,A man diagnosed with Alzheimer's decides to punish criminals.,Crime,"https://www.imdb.com/search/title?genres=crime&explore=title_type,genres&ref_=tt_ov_inf",Haluk BilginerSebnem BozokluRecep Usta,159,"2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt28334633/?ref_=sr_t_3,Yabani,2023– ,https://www.imdb.com/title/tt28334633/releaseinfo?ref_=tt_ov_rdat,,,,7.3,788,846,"The life of a young boy named Yaman growing up on the streets, along with his friends, as they face challenges of survival.",Drama,"https://www.imdb.com/search/title?genres=drama&explore=title_type,genres&ref_=tt_ov_inf",Halit Özgür SariSimay BarlasYurdaer Okur,14,,,,,,
https://www.imdb.com/title/tt21764804/?ref_=sr_t_4,Aile,2023– ,https://www.imdb.com/title/tt21764804/releaseinfo?ref_=tt_ov_rdat,,,,6.6,2.2K,965,"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense.",Action,"https://www.imdb.com/search/title?genres=action&explore=title_type,genres&ref_=tt_ov_inf",Kivanç TatlitugSerenay SarikayaNur Sürer,15,"2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt13675832/?ref_=sr_t_5,Gibi,2021– ,https://www.imdb.com/title/tt13675832/releaseinfo?ref_=tt_ov_rdat,7+,https://www.imdb.com/title/tt13675832/parentalguide/certificates?ref_=tt_ov_pg,30m,9.0,20K,986,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Comedy,"https://www.imdb.com/search/title?genres=comedy&explore=title_type,genres&ref_=tt_ov_inf",Feyyaz YigitKivanç KilinçAhmet Kürsat Öçalan,37,"5
4
3
2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt12439466/?ref_=sr_t_6,Sen Çal Kapimi,2020–2021,https://www.imdb.com/title/tt12439466/releaseinfo?ref_=tt_ov_rdat,7+,https://www.imdb.com/title/tt12439466/parentalguide/certificates?ref_=tt_ov_pg,2h,7.3,15K,"1,037","Due to circumstances, Serkan and Eda will have to pretend to be engaged. Comedy begins. And romance?",Comedy,"https://www.imdb.com/search/title?genres=comedy&explore=title_type,genres&ref_=tt_ov_inf",Hande ErçelKerem BürsinEvrim Dogan,287,"2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt7431994/?ref_=sr_t_7,Çukur,2016–2021,https://www.imdb.com/title/tt7431994/releaseinfo?ref_=tt_ov_rdat,7+,https://www.imdb.com/title/tt7431994/parentalguide/certificates?ref_=tt_ov_pg,2h,7.6,19K,"1,121","A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovali. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from.",Action,"https://www.imdb.com/search/title?genres=action&explore=title_type,genres&ref_=tt_ov_inf",Aras Bulut IynemliErkan Kolçak KöstendilRiza Kocaoglu,145,"4
3
2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt21105088/?ref_=sr_t_8,Yali Çapkini,2022– ,https://www.imdb.com/title/tt21105088/releaseinfo?ref_=tt_ov_rdat,,,,6.2,4.3K,"1,156","Halis Aga, the pillar of one of Gaziantep's well-established families, decides to marry off his unruly grandson Ferit to bring him into line.",Drama,"https://www.imdb.com/search/title?genres=drama&explore=title_type,genres&ref_=tt_ov_inf",Afra SaraçogluMert Ramazan DemirGülçin Santircioglu,72,"2
1
See all",,,,,
https://www.imdb.com/title/tt11093718/?ref_=sr_t_9,Kurulus: Osman,2019– ,https://www.imdb.com/title/tt11093718/releaseinfo?ref_=tt_ov_rdat,Not Rated,https://www.imdb.com/title/tt11093718/parentalguide/certificates?ref_=tt_ov_pg,2h,7.6,12K,"1,168","The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.",Action,"https://www.imdb.com/search/title?genres=action&explore=title_type,genres&ref_=tt_ov_inf",Mehmet Bozdag,222,"5
4
3
2
1
See all",,,,,Stereo
https://www.imdb.com/title/tt15676170/?ref_=sr_t_10,Atatürk 1881 - 1919,2023–2024,https://www.imdb.com/title/tt15676170/releaseinfo?ref_=tt_ov_rdat,,,,,,,"The life story of Veteran Mustafa Kemal Atatürk, the founding father of the Republic of Turkey and its first President, supreme commander of Turkish War of Independence, and revolutionary statesman.",Biography,"https://www.imdb.com/search/title?genres=biography&explore=title_type,genres&ref_=tt_ov_inf",Aras Bulut IynemliLidija KordicAlican Barlas,16,,,,,,
