Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt13323566/?ref_=sr_t_1,Kus Uçusu,16,16,
https://www.imdb.com/title/tt7920978/?ref_=sr_t_2,Sahsiyet,21,21,
https://www.imdb.com/title/tt28334662/?ref_=sr_t_3,Kizil Goncalar,2,,
https://www.imdb.com/title/tt21764804/?ref_=sr_t_4,Aile,27,27,
https://www.imdb.com/title/tt12439466/?ref_=sr_t_5,Sen Çal Kapimi,52,52,
https://www.imdb.com/title/tt28334633/?ref_=sr_t_6,Yabani,17,17,
https://www.imdb.com/title/tt11093718/?ref_=sr_t_7,Kurulus: Osman,142,142,
https://www.imdb.com/title/tt13675832/?ref_=sr_t_8,Gibi,43,43,
https://www.imdb.com/title/tt21105088/?ref_=sr_t_9,Yali Çapkini,52,52,
https://www.imdb.com/title/tt7431994/?ref_=sr_t_10,Çukur,132,132,
https://www.imdb.com/title/tt21874046/?ref_=sr_t_11,Adim Farah,27,27,
https://www.imdb.com/title/tt4320258/?ref_=sr_t_12,Dirilis: Ertugrul,179,179,
https://www.imdb.com/title/tt12979628/?ref_=sr_t_13,Yargi,80,80,
https://www.imdb.com/title/tt1848220/?ref_=sr_t_14,Muhtesem Yüzyil,139,139,
https://www.imdb.com/title/tt15676170/?ref_=sr_t_15,Atatürk 1881 - 1919,3,,
https://www.imdb.com/title/tt15473010/?ref_=sr_t_16,Terzi,23,23,
https://www.imdb.com/title/tt16163746/?ref_=sr_t_17,Biz Kimden Kaçiyorduk Anne?,7,7,
https://www.imdb.com/title/tt21764074/?ref_=sr_t_18,Kizilcik Serbeti,42,42,
https://www.imdb.com/title/tt8045936/?ref_=sr_t_19,Yasak Elma,177,177,
https://www.imdb.com/title/tt22727518/?ref_=sr_t_20,Bambaska Biri,15,15,
https://www.imdb.com/title/tt8478162/?ref_=sr_t_21,Erkenci Kus,51,51,
https://www.imdb.com/title/tt1534360/?ref_=sr_t_22,Ezel,71,71,
https://www.imdb.com/title/tt7668518/?ref_=sr_t_23,The Protector,32,32,
https://www.imdb.com/title/tt7550774/?ref_=sr_t_24,Siyah Beyaz Ask,32,32,
https://www.imdb.com/title/tt21095396/?ref_=sr_t_25,Çekiç ve Gül: Bir Behzat Ç. Hikayesi,12,12,
https://www.imdb.com/title/tt13562418/?ref_=sr_t_26,Teskilat,89,89,
https://www.imdb.com/title/tt30054237/?ref_=sr_t_27,Arak,2,,
https://www.imdb.com/title/tt1286677/?ref_=sr_t_28,Ask-i Memnu,79,79,
https://www.imdb.com/title/tt1795096/?ref_=sr_t_29,Behzat Ç.: Bir Ankara Polisiyesi,105,105,
https://www.imdb.com/title/tt4787052/?ref_=sr_t_30,Kiralik Ask,69,69,
https://www.imdb.com/title/tt1831164/?ref_=sr_t_31,Leyla ile Mecnun,144,144,
https://www.imdb.com/title/tt29258720/?ref_=sr_t_32,Hudutsuz Sevda,14,,
https://www.imdb.com/title/tt16913068/?ref_=sr_t_33,Sahmaran,10,10,
https://www.imdb.com/title/tt6051216/?ref_=sr_t_34,Içerde,39,39,
https://www.imdb.com/title/tt5133998/?ref_=sr_t_35,Kara Sevda,89,89,
https://www.imdb.com/title/tt13317582/?ref_=sr_t_36,Kulüp,20,20,
https://www.imdb.com/title/tt3565486/?ref_=sr_t_37,Kara Para Ask,54,54,
https://www.imdb.com/title/tt5768632/?ref_=sr_t_38,Ask Laftan Anlamaz,31,31,
https://www.imdb.com/title/tt5175270/?ref_=sr_t_39,Eskiya Dünyaya Hükümdar Olmaz,199,199,
