Field1_links,Field2,Field3_text,Field3_links,Field4_text,Field4_links,Field5_text,Field5_links,Field6,Field7,Field8_text,Field8_links,Field9,Field10_text,Field10_links,Field11_text,Field11_links,Field12_text,Field12_links,Field13_text,Field13_links,Field14_text,Field14_links,Field15,Field16
https://www.imdb.com/title/tt13323566/?ref_=sr_t_1,Kus Uçusu,Birce Akalay,https://www.imdb.com/name/nm2595502/?ref_=tt_ov_st,Miray Daner,https://www.imdb.com/name/nm4788223/?ref_=tt_ov_st,Ibrahim Celikkol,https://www.imdb.com/name/nm2965591/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt13323566/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt7920978/?ref_=sr_t_2,Sahsiyet,Haluk Bilginer,https://www.imdb.com/name/nm0082211/?ref_=tt_ov_st,Sebnem Bozoklu,https://www.imdb.com/name/nm3427444/?ref_=tt_ov_st,Recep Usta,https://www.imdb.com/name/nm9621861/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7920978/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt28334633/?ref_=sr_t_3,Yabani,Halit Özgür Sari,https://www.imdb.com/name/nm10321415/?ref_=tt_ov_st,Simay Barlas,https://www.imdb.com/name/nm8690064/?ref_=tt_ov_st,Yurdaer Okur,https://www.imdb.com/name/nm1938148/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt28334633/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt21764804/?ref_=sr_t_4,Aile,Kivanç Tatlitug,https://www.imdb.com/name/nm1833525/?ref_=tt_ov_st,Serenay Sarikaya,https://www.imdb.com/name/nm3020763/?ref_=tt_ov_st,Nur Sürer,https://www.imdb.com/name/nm0845748/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt21764804/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt13675832/?ref_=sr_t_5,Gibi,Feyyaz Yigit,https://www.imdb.com/name/nm5831457/?ref_=tt_ov_st,Kivanç Kilinç,https://www.imdb.com/name/nm7946031/?ref_=tt_ov_st,Ahmet Kürsat Öçalan,https://www.imdb.com/name/nm7705136/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt13675832/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt12439466/?ref_=sr_t_6,Sen Çal Kapimi,Hande Erçel,https://www.imdb.com/name/nm7495853/?ref_=tt_ov_st,Kerem Bürsin,https://www.imdb.com/name/nm2792064/?ref_=tt_ov_st,Evrim Dogan,https://www.imdb.com/name/nm6452822/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt12439466/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt7431994/?ref_=sr_t_7,Çukur,Aras Bulut Iynemli,https://www.imdb.com/name/nm4199420/?ref_=tt_ov_st,Erkan Kolçak Köstendil,https://www.imdb.com/name/nm5331335/?ref_=tt_ov_st,Riza Kocaoglu,https://www.imdb.com/name/nm1727502/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt7431994/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt21105088/?ref_=sr_t_8,Yali Çapkini,Afra Saraçoglu,https://www.imdb.com/name/nm8141944/?ref_=tt_ov_st,Mert Ramazan Demir,https://www.imdb.com/name/nm9455181/?ref_=tt_ov_st,Gülçin Santircioglu,https://www.imdb.com/name/nm2073078/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt21105088/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt11093718/?ref_=sr_t_9,Kurulus: Osman,Mehmet Bozdag,https://www.imdb.com/name/nm7061821/?ref_=tt_ov_wr,,,,,,,,,,,https://www.imdb.com/title/tt11093718/fullcredits/writer?ref_=tt_ov_wr_sm,,,,,,,,,,
https://www.imdb.com/title/tt15676170/?ref_=sr_t_10,Atatürk 1881 - 1919,Aras Bulut Iynemli,https://www.imdb.com/name/nm4199420/?ref_=tt_ov_st,Lidija Kordic,https://www.imdb.com/name/nm10274120/?ref_=tt_ov_st,Alican Barlas,https://www.imdb.com/name/nm7631423/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt15676170/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt12979628/?ref_=sr_t_11,Yargi,Kaan Urgancioglu,https://www.imdb.com/name/nm1284648/?ref_=tt_ov_st,Pinar Deniz,https://www.imdb.com/name/nm8496758/?ref_=tt_ov_st,Hüseyin Avni Danyal,https://www.imdb.com/name/nm1727134/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt12979628/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt15473010/?ref_=sr_t_12,Terzi,Onur Güvenatam,https://www.imdb.com/name/nm7487585/?ref_=tt_ov_wr,,,,,,,,,,,,,,,,,,,,,
https://www.imdb.com/title/tt29258720/?ref_=sr_t_13,Hudutsuz Sevda,Deniz Can Aktas,https://www.imdb.com/name/nm7487583/?ref_=tt_ov_st,Miray Daner,https://www.imdb.com/name/nm4788223/?ref_=tt_ov_st,Esra Dermancioglu,https://www.imdb.com/name/nm3828934/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt29258720/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt21764074/?ref_=sr_t_14,Kizilcik Serbeti,Baris Kilic,https://www.imdb.com/name/nm1727489/?ref_=tt_ov_st,Evrim Alasya,https://www.imdb.com/name/nm2142155/?ref_=tt_ov_st,Sila Turkoglu,https://www.imdb.com/name/nm10176695/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt21764074/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
https://www.imdb.com/title/tt21095396/?ref_=sr_t_15,Çekiç ve Gül: Bir Behzat Ç. Hikayesi,Erdal Besikçioglu,https://www.imdb.com/name/nm1698655/?ref_=tt_ov_st,Inanç Konukçu,https://www.imdb.com/name/nm4245708/?ref_=tt_ov_st,Berkan Sal,https://www.imdb.com/name/nm4246039/?ref_=tt_ov_st,,,,,,,https://www.imdb.com/title/tt21095396/fullcredits/cast?ref_=tt_ov_st_sm,,,,,,,,,,
