Field1_links,Dogum_Tarihi,Yas,Kariyer,Proje_Sayısı,Name
https://www.beyazperde.com/sanatcilar/sanatci-691988/,"
10 Mayıs 1993
","
Yaş 
30
",11,10,Mert Yazıcıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-525668/,,,12,11,Merve Ateş
https://www.beyazperde.com/sanatcilar/sanatci-494997/,"
1 Nisan 1986
","
Yaş 
37
",15,21,Özge Özpirinçci
https://www.beyazperde.com/sanatcilar/sanatci-518782/,"
24 Ekim 1987
","
Yaş 
36
",12,6,Duygu Sarışın
https://www.beyazperde.com/sanatcilar/sanatci-518698/,"
29 Mart 1980
","
Yaş 
43
",12,11,Mert Turak
https://www.beyazperde.com/sanatcilar/sanatci-526691/,,,,,Damla Ersubaşı
https://www.beyazperde.com/sanatcilar/sanatci-9335/,,,29,12,Zeki Demirkubuz
https://www.beyazperde.com/sanatcilar/sanatci-886101/,"
1 Ocak 1997
","
Yaş 
26
",4,7,Şifanur Gül
https://www.beyazperde.com/sanatcilar/sanatci-510763/,,,35,36,Faruk Turgut
https://www.beyazperde.com/sanatcilar/sanatci-519264/,,,13,6,Ozan Aksungur
https://www.beyazperde.com/sanatcilar/sanatci-204146/,"
15 Temmuz 1962
","
Yaş 
61
",26,33,Settar Tanrıöğen
https://www.beyazperde.com/sanatcilar/sanatci-515337/,"
21 Ocak 1991
","
Yaş 
32
",12,5,Hilal Altınbilek
https://www.beyazperde.com/sanatcilar/sanatci-547971/,,,16,9,Sibel Taşçıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-266776/,"
27 Ekim 1983
","
Yaş 
40
",18,17,Kıvanç Tatlıtuğ
https://www.beyazperde.com/sanatcilar/sanatci-921526/,,,,,Mina Demirtaş
https://www.beyazperde.com/sanatcilar/sanatci-520529/,"
1 Ocak 1982
","
Yaş 
41
",14,10,Erkan Avcı
https://www.beyazperde.com/sanatcilar/sanatci-188727/,"
28 Aralık 1978
","
Yaş 
45
",22,18,Özgü Namal
https://www.beyazperde.com/sanatcilar/sanatci-505872/,"
11 Kasım 1944
","
Ölümü 


3 Temmuz 2000


55 yaşında
(Trabzon)
",27,83,Kemal Sunal
https://www.beyazperde.com/sanatcilar/sanatci-26487/,"
5 Haziran 1954
","
Yaş 
69
",36,60,Haluk Bilginer
https://www.beyazperde.com/sanatcilar/sanatci-741724/,,,8,11,Aslı Bekiroğlu
https://www.beyazperde.com/sanatcilar/sanatci-1004908/,,,,,Fazlı Polat
https://www.beyazperde.com/sanatcilar/sanatci-474389/,"
19 Mayıs 1972
","
Yaş 
51
",21,24,Özcan Deniz
https://www.beyazperde.com/sanatcilar/sanatci-441577/,"
1984
","
Yaş 
39
",14,15,Birce Akalay
https://www.beyazperde.com/sanatcilar/sanatci-962216/,,,,,Dilin Döğer
